課程名稱,授課教師,學期,A+比例,A比例,A-比例,B+比例,B比例,B-比例,C+比例,C比例,C-比例,F比例
二十世紀中國族群政治史,吳啟訥,107-2,28.99%,26.63%,44.38%,,,,,,,
人口經濟學,廖珮如,109-2,,21.21%,21.21%,57.58%,,,,,,
人文地理調查方法,簡旭伸,107-1,13.33%,86.67%,,,,,,,,
人文地理學通論,洪伯邑,107-1,,21.15%,51.92%,26.92%,,,,,,
人文科技的交響：新趨勢與新素養（一）,鄭毓瑜,109-1,30.36%,35.71%,33.93%,,,,,,,
人類行為與社會環境,許正熙,109-2,70.59%,29.41%,,,,,,,,
人類學,林瑋嬪,110-1,,55.56%,23.61%,20.83%,,,,,,
力學上,龐寧寧,107-1,5.50%,94.50%,,,,,,,,
力學下,龐寧寧,107-2,43.36%,56.64%,,,,,,,,
力學習題演練上,龐寧寧,107-1,11.58%,88.42%,,,,,,,,
力學習題演練下,龐寧寧,107-2,44%,56%,,,,,,,,
十七與十八世紀英國文學,奇邁可 ,107-2,3.03%,30.30%,66.67%,,,,,,,
十四行詩工作坊,邱錦榮,110-1,23.08%,38.46%,,,,,,,,
土壤學,李達源,107-1,,47.06%,21.57%,31.37%,,,,,,
土壤學實驗,許正一,107-1,55%,45%,,,,,,,,
大一研討課,梁庚辰,108-2,18.09%,20.21%,61.70%,,,,,,,
大陸岩石圈,曾泰琳,110-1,40%,,,,,,,,,
大學國文,張宇衛,110-1,,50%,33.33%,16.67%,,,,,,
大學國文：文學思想與寫作（一）,羅聖堡(28),110-1,54.29%,40%,,,,,,,,
大學國文：文學鑑賞與寫作（一）,楊芳燕,109-1,12.12%,33.33%,54.55%,,,,,,,
大學國文：文學鑑賞與寫作（一）,陳建男,110-1,76.47%,23.53%,,,,,,,,
大學國文：文學鑑賞與寫作（一）,張斯翔,110-1,17.65%,,,,,,,,,
大學國文：文學鑑賞與寫作（二）,陳建男,109-2,84.85%,,,,,,,,,
大學國文：閱讀與寫作（一）,陳建男(11),110-1,90.91%,9.09%,,,,,,,,
大學國文：閱讀與寫作（一）,沈凡玉(15),110-1,,52.38%,33.33%,14.29%,,,,,,
大學國文：閱讀與寫作（二）,楊芳燕(08),109-2,,66.67%,27.78%,5.56%,,,,,,
大學國文一,汪詩珮,107-1,,42.86%,35.71%,21.43%,,,,,,
大學國文一,羅鈴沛,108-1,,29.41%,20.59%,50.00%,,,,,,
大學國文一,歐麗娟,108-1,,,,,82.35%,11.76%,5.88%,,,
大學國文一,盧桂珍,107-1,4.88%,,,,,,,,,
大學國文一,盧桂珍,107-1,10%,57.50%,32.50%,,,,,,,
大學國文二,張宇衛,107-2,13.33%,86.67%,,,,,,,,
女性主義與法律,陳昭如,108-1,,,41.33%,21.33%,37.33%,,,,,
工程用生物學,謝博全,107-1,29.79%,21.28%,48.94%,,,,,,,
工程發展與社會變遷,楊申語,109-1,17.50%,52.50%,30%,,,,,,,
工程圖學與電腦製圖,朱元南,107-1,41.30%,,,,,,,,,
工程數學,李明穗,109-2,52.17%,47.83%,,,,,,,,
工程數學-微分方程(一),丁建均,110-1,45.36%,54.64%,,,,,,,,
工程數學-線性代數,蘇柏青,110-1,19.28%,16.87%,63.86%,,,,,,,
工程數學-線性代數,劉志文,108-1,,,18.75%,,,,,,,
工程數學一,顏炳郎,108-1,31.48%,,,,,,,,,
中級會計學上,蔡彥卿,107-1,,28.72%,21.28%,50%,,,,,,
中級會計學上,林琬琬,110-1,17.65%,,,,,,,,,
中級會計學下,蔡彥卿,107-2,61.45%,15.66%,22.89%,,,,,,,
中國大陸法律發展,陳顯武,109-2,38.46%,61.54%,,,,,,,,
中國文字之道,丁亮,107-2,11.88%,88.12%,,,,,,,,
中國古代的社會與生活,張嘉鳳 ,106-1,,,,,57.14%,9.52%,33.33%,,,
中國史二,衣若蘭 ,108-2,,33.33%,39.74%,26.92%,,,,,,
中國近代思想史,吳展良,108-2,,,,,80%,8%,12%,,,
中國近現代音樂文化,沈冬,109-1,28.57%,14.29%,57.14%,,,,,,,
