"課程名稱",授課教師,學期,A+比例,A比例,A-比例,B+比例,B比例,B-比例,C+比例,C比例,C-比例,F比例
" 工程數學一	",許少瑜,1111,18.37%,51.02%,,,,,,,,
" 日文一上",曾寶儀,1121,65%,10%,,,,,,,,
" 政治學概論",王業立,1121,20.40%,,,,,,,,,
"人工智慧在醫療領域的應用及實作開發",王宗道,1111,95.24%,,,,,,,,,
"人文科技的交響：新趨勢與新素養（一）",鄭毓瑜,1111,17.24%,43.97%,,,,,,,,
"人文科技的交響：新趨勢與新素養（二）",鄭毓瑜,1112,20.91%,,,,,,,,,
"人文與醫學體驗學習（一）",吳造中等,1111,75%,,,,,,,,,
"人類學的情感與情緒研究",黃郁茜,1111,40%,,,,,,,,,
"土木工程概念設計",林偲妘,1111,31.82%,,,,,,,,,
"土木工程概念設計",郭安妮,1111,26.67%,46.66%,23.33%,,,,,,,
"土壤力學",邱俊翔,1122,20%,,,,,8%,,,,
"大一研討課",周泰立,1112,32.48%,,,,,,,,,
"大氣科學概論",吳俊傑,1111,11.11%,26.98%,,,,,,,,
"大氣測計學",林博雄,1111,,,,,,,,4.26%,,
"大氣程式實作",陳維婷,1111,75%,,,,,,,,,
"大氣熱力學",吳健銘,1112,,,9.26%,,,,,,,
"大氣熱力學",吳健銘,1112,18.52%,,,,,,,,,
"大學國文：文化思想與寫作（一）",羅鈴沛,1111,13.89%,,,,,,,,,
"大學國文：文化思想與寫作（一）",徐芳敏,1111,,,25.71%,,,,,,,
"大學國文：文化思想與寫作（一）",梁偉賢,1111,60%,,,,,,,,,
"大學國文：文化思想與寫作（一）",侯潔之,1111,,,31.25%,,,,,,,
"大學國文：文化思想與寫作（一）",曹美秀,1121,10%,,,,,,,,,
"大學國文：文化思想與寫作（二）",黃啟書,1112,,,,,,11.76%,,,,
"大學國文：文化思想與寫作（二）",梁偉賢,1112,79.41%,,,,,,,,,
"大學國文：文學鑑賞與寫作(一)",潘少瑜,1111,,15.62%,,,,,,,,
"大學國文：文學鑑賞與寫作（一）",張宇衛,1111,17.14%,,,,,,,,,
"大學國文：文學鑑賞與寫作（一）",曹淑娟,1111,11.11%,,,,,,,,,
"大學國文：文學鑑賞與寫作（一）",陳雀倩,1111,68.57%,,,,,,,,,
"大學國文：文學鑑賞與寫作（一）",吳旻旻,1111,20%,34.29%,,,,,,,,
"大學國文：文學鑑賞與寫作（一）",陳玉萍,1111,13.89%,30.56%,,,,,,,,
"大學國文：文學鑑賞與寫作（一）",葉常弘,1111,11.11,33.33,,,,,,,,
"大學國文：文學鑑賞與寫作（二）",王士銓,1112,48.39%,,,,,,,,,
"大學國文：文學鑑賞與寫作（二）",陳建男,1112,70.59%,,,,,,,,,
"大學國文：文學鑑賞與寫作（二）",陳雀倩,1112,62.16%,21.16%,,,,,,,,
"大學國文：文學鑑賞與寫作（二）",王士銓,1112,60.71%,25%,,,,,,,,
"大學國文：文學鑒賞與寫作（二）",陳昭瑛,1112,28.57%,,,,,,,,,
"大學國文：閱讀與寫作（一）",簡凱廷,1111,75%,,,,,,,,,
"大學國文：閱讀與寫作（一）",林孜曄,1111,32,,,,,,,,,
"大學國文：閱讀與寫作（二）",羅聖堡,1112,,57.14%,,,,,,,,
"大體解剖學實驗上",許書豪,1111,17.65%,,,,,,,,,
"工場實習",蔡曜陽,1111,14.04%,,,,,,,,,
"工場實習",李典儒,1111,28.33%,68.33%,,,,,,,,
"工程及海工概論",丁肇隆,1111,23.08%,58.46%,,,,,,,,
"工程及專業倫理",陳琪芳,1112,84.42%,,,,,,,,,
"工程材料",鄭憶中,1111,,,,11.43%,,,,,,
"工程材料",陳志軒,1111,13.46%,,,,,,,,,
"工程發展與社會變遷",楊申語,1111,14.55%,,,,,,,,,
"工程發展與社會變遷",楊申語,1111,,,24.55%,,,,,,,
"工程發展與社會變遷",楊申語,1112,26.53%,,,,,,,,,
