課程名稱,授課教師,學期,A+,A,A以下,A-以上,A-,A-以下,B+以上,B+,B+以下,B以上,B,B以下,B-以上,B-,B-以下,C+以上,C+,C+以下,C以上,C,C以下,C-以上,C-,F
太極拳初級,游添燈,112-2,9.23,26.15,,,,,,,,,,,,,,,,,,,,,,
Python 計算機程式設計,張傑帆,112-2,27.94,30.88,,,,,,,,,,,,,,,,,,,,,,
中國史二,衣若蘭,112-2,27.4,53.42,,,,,,,,,,,,,,,,,,,,,,
中級會計學下,吳淑玲,112-2,33.02,,,,,,,,,,,,,,,,,,,,,,,
中級會計學下,林琬琬,112-2,20,,,,,,,,,,,,,,,,,,,,,,,
中華民國憲法及政府二,湯德宗,112-2,4.17,7.29,,,,,,,,,,,,,,,,,,,,,,
中華民國憲法及政府二,蔡季廷,112-2,,,,,16.48,,,,,,,,,,,,,,,,,,,
乳品生物技術,陳明汝,112-2,18.18,36.36,,,,,,,,,,,,,,,,,,,,,,
人類學史,王梅霞,112-2,11.54,42.31,,,,,,,,,,,,,,,,,,,,,,
以Excel進行資料分析,林友瑜,112-2,20.69,,,,,,,,,,,,,,,,,,,,,,,
以Excel進行資料分析,林友瑜,112-2,20.21,,,,,,,,,,,,,,,,,,,,,,,
作業管理,郭佳瑋,112-2,,25.33,,,32,,,42.67,,,,,,,,,,,,,,,,
保險法,蔡英欣,112-2,12.17,24.35,,,,,,,,,,,,,,,,,,,,,,
個體經濟學下,黃貞穎,112-2,9.78,8.7,,,,,,,,,,,,,,,,,,,,,,
偏微分方程導論,夏俊雄,112-2,,,,,,,,,,,5.71,,,,,,,,,,,,,
債編總論一,吳從周,112-2,23.84,17.88,,,,,,,,,,,,,,,,,,,,,,
全民國防教育軍事訓練課程－國防政策,余宗基,112-2,5.97,16.92,,,,,,,,,,,,,,,,,,,,,,
全民國防教育軍事訓練課程－國際情勢,劉鐵軍,112-2,,,,,34.88,,,,,,,,,,,,,,,,,,,
全民國防教育軍事訓練課程－國際情勢,劉鐵軍,112-2,,,,,29.41,,,,,,,,,,,,,,,,,,,
全民國防教育軍事訓練課程－防衛動員,余宗基,112-2,20.1,,,,,,,,,,,,,,,,,,,,,,,
全球通識講座-決策者,徐斯勤,112-2,77.13,,,,,,,,,,,,,,,,,,,,,,,
凸函數最佳化,蘇柏青,112-2,39.32,35.9,,,,,,,,,,,,,,,,,,,,,,
分散式機器學習系統,周承復,112-2,50,,,,,,,,,,,,,,,,,,,,,,,
刑事政策專題研究,李茂生、許恒達、周漾沂、謝煜偉、黃種甲合授,112-2,12.38,28.57,,,,,,,,,,,,,,,,,,,,,,
刑事訴訟法,林鈺雄,112-2,,,,,,,,17.24,,,,,,,,,,,,,,,,
刑事訴訟法,林鈺雄,112-2,,,,,,,,,,,,,,13.79,,,,,,,,,,
刑法總則二,王皇玉,112-2,20.29,20.29,,,,,,,,,,,,,,,,,,,,,,
刑法總則二,許恒達,112-2,20,24.62,,,,,,,,,,,,,,,,,,,,,,
協調溝通與衝突管理,徐顯國,112-2,22.22,,,,,,,,,,,,,,,,,,,,,,,
可可與巧克力學,王裕文,112-2,34.38,37.5,,,,,,,,,,,,,,,,,,,,,,
史學導論,傅揚,112-2,28.26,26.09,,,,,,,,,,,,,,,,,,,,,,
哲學概論,苑舉正,112-2,69,,,,,,,,,,,,,,,,,,,,,,,
哲學概論,苑舉正,112-2,21.88,20.83,,,,,,,,,,,,,,,,,,,,,,
商事法,游啟璋,112-2,37.1,,,,,,,,,,,,,,,,,,,,,,,
商事法,陳俊元,112-2,,,,,32.04,,,,,,,,,,,,,,,,,,,
商事法,吳盈德,112-2,6.52,92.39,,,,,,,,,,,,,,,,,,,,,,
商事法,洪瑞璨,112-2,13.79,12.07,,,,,,,,,,,,,,,,,,,,,,
商業應用軟體,外聘老師王春笙,112-2,81.82,,,,,,,,,,,,,,,,,,,,,,,
商管程式設計,孔令傑,112-2,71.89,,,,,,,,,,,,,,,,,,,,,,,
固態電子學,老胡,112-2,45.16,,,,,,,,,,,,,,,,,,,,,,,
國會與憲政民主,劉有恆,112-2,52.03,,,,,,,,,,,,,,,,,,,,,,,
國民法官必備之基礎鑑識科學,翁德怡,112-2,87.18,,,,,,,,,,,,,,,,,,,,,,,
國際關係二,廖小娟,112-2,11.67,23.33,,,,,,,,,,,,,,,,,,,,,,
土壤力學,邱俊翔,112-2,20,,,,,,,,,,,,,8,,,,,,,,,,
地質調查導論二,合授,112-2,3.12,53.12,,,,,,,,,,,,,,,,,,,,,,
大學國文：文化思想與寫作（二,王士銓,112-2,66.67,,,,,,,,,,,,,,,,,,,,,,,
大學國文：文學鑑賞與寫作（二）,簡凱廷,112-2,70.27,,,,,,,,,,,,,,,,,,,,,,,
大學國文：閱讀與寫作（二）,賴昶亘,112-2,26.32,,,,,,,,,,,,,,,,,,,,,,,
大氣動力學一,吳俊傑,112-2,20,8,,,,,,,,,,,,,,,,,,,,,,
大氣輻射學,林依依,112-2,18.18,15.15,,,,,,,,,,,,,,,,,,,,,,
定向越野,莊珮琪,112-2,82.61,,,,,,,,,,,,,,,,,,,,,,,
定向越野,莊珮琪,112-2,88.89,,,,,,,,,,,,,,,,,,,,,,,
定向越野,莊珮琪,112-2,71.11,,,,,,,,,,,,,,,,,,,,,,,
家事事件法,許士宦,112-2,,,,,,,,23.08,,,,,,,,,,,,,,,,
寄生蟲學甲,蕭信宏,112-2,69.18,,,,,,,,,,,,,,,,,,,,,,,
密碼學導論,陳君明,112-2,,,,,,,,,,,4.07,,,,,,,,,,,,,
專利法,李素華,112-2,36.05,27.33,,,27.33,,,,,,,,,,,,,,,,,,,
小組討論二,謝正宜,112-2,16.2,,,,,,,,,,,,,,,,,,,,,,,
布農語一下,余榮德,112-2,70.97,29.03,,,,,,,,,,,,,,,,,,,,,,
建築導論,呂欽文,112-2,13.39,,,,,,,,,,,,,,,,,,,,,,,
微生物學免疫學及實驗,楊宏志,112-2,57.75,,,,,,,,,,,,,,,,,,,,,,,
微生物學實驗乙,楊宏志,112-2,72.09,,,,,,,,,,,,,,,,,,,,,,,
微積分3,陳榮凱,112-2,5.62,,,,,,,,,,,,,,,,,,,,,,,
微積分3,陳健樺,112-2,30.43,,,,,,,,,,,,,,,,,,,,,,,
微積分3,蔡國榮,112-2,43.7,,,,,,,,,,,,,,,,,,,,,,,
微積分3,彭俊文,112-2,19.38,,,,,,,,,,,,,,,,,,,,,,,
微積分4,蔡國榮,112-2,24.26,,,,,,,,,,,,,,,,,,,,,,,
微積分4,彭俊文,112-2,,,,,8.96,,,,,,,,,,,,,,,,,,,
